Processing Time for 2022/04/01/0000H:  1.218935489654541 seconds
Processing Time for 2022/10/25/1000H:  26.615400791168213 seconds
Processing Time for 2022/10/25/1100H:  13.61281967163086 seconds
Processing Time for 2022/10/25/1200H:  21.37805676460266 seconds
Processing Time for 2022/10/25/1300H:  7.156804084777832 seconds
Processing Time for 2022/10/25/1400H:  19.964815855026245 seconds
Processing Time for 2022/10/25/1500H:  15.19012713432312 seconds
Processing Time for 2022/10/25/1600H:  15.352509021759033 seconds
Processing Time for 2022/10/25/1700H:  13.020161628723145 seconds
Processing Time for 2022/10/25/1800H:  18.554613828659058 seconds
Processing Time for 2022/10/25/1900H:  12.705983638763428 seconds
Processing Time for 2022/10/25/2000H:  10.426277160644531 seconds
Processing Time for 2022/10/25/2100H:  4.756809711456299 seconds
Processing Time for 2022/10/25/2200H:  3.594221830368042 seconds
Processing Time for 2022/10/25/2300H:  0.7482719421386719 seconds
Processing Time for 2022/10/26/0000H:  1.1390571594238281 seconds
Processing Time for 2022/10/26/0100H:  0.313140869140625 seconds
Processing Time for 2022/10/26/0200H:  0.3074820041656494 seconds
Processing Time for 2022/10/26/0300H:  0.356644868850708 seconds
Processing Time for 2022/10/26/0400H:  0.5634078979492188 seconds
Processing Time for 2022/10/26/0500H:  2.0104470252990723 seconds
Processing Time for 2022/10/26/0600H:  3.215961456298828 seconds
Processing Time for 2022/10/26/0700H:  9.004043817520142 seconds
Processing Time for 2022/10/26/0800H:  4.067006349563599 seconds
Processing Time for 2022/10/26/0900H:  12.893452405929565 seconds
Processing Time for 2022/10/26/1000H:  12.070940732955933 seconds
Processing Time for 2022/10/26/1100H:  6.547712802886963 seconds
Processing Time for 2022/10/26/1200H:  12.161637783050537 seconds
Processing Time for 2022/10/26/1300H:  1.4963605403900146 seconds
Processing Time for 2022/10/26/1400H:  11.00219202041626 seconds
Processing Time for 2022/10/26/1500H:  6.971690654754639 seconds
Processing Time for 2022/10/26/1600H:  15.839720010757446 seconds
Processing Time for 2022/10/26/1700H:  11.139463424682617 seconds
Processing Time for 2022/10/26/1800H:  20.86976671218872 seconds
Processing Time for 2022/10/26/1900H:  18.545217514038086 seconds
Processing Time for 2022/10/26/2000H:  16.460965156555176 seconds
Processing Time for 2022/10/26/2100H:  6.33086371421814 seconds
Processing Time for 2022/10/26/2200H:  6.013605833053589 seconds
Processing Time for 2022/10/26/2300H:  1.7837276458740234 seconds
Processing Time for 2022/10/27/0000H:  1.1458673477172852 seconds
Processing Time for 2022/10/27/0100H:  0.5041060447692871 seconds
Processing Time for 2022/10/27/0200H:  0.7779181003570557 seconds
Processing Time for 2022/10/27/0300H:  0.482147216796875 seconds
Processing Time for 2022/10/27/0400H:  0.5433800220489502 seconds
Processing Time for 2022/10/27/0500H:  3.2979073524475098 seconds
Processing Time for 2022/10/27/0600H:  6.217434644699097 seconds
Processing Time for 2022/10/27/0700H:  14.324077844619751 seconds
Processing Time for 2022/10/27/0800H:  6.17700719833374 seconds
Processing Time for 2022/10/27/0900H:  22.930602312088013 seconds
Processing Time for 2022/10/27/1000H:  20.8868510723114 seconds
Processing Time for 2022/10/27/1100H:  8.74839472770691 seconds
Processing Time for 2022/10/27/1200H:  11.539649486541748 seconds
Processing Time for 2022/10/27/1300H:  2.4147651195526123 seconds
Processing Time for 2022/10/27/1400H:  11.214178323745728 seconds
Processing Time for 2022/10/27/1500H:  5.7247209548950195 seconds
Processing Time for 2022/10/27/1600H:  9.44272780418396 seconds
Processing Time for 2022/10/27/1700H:  5.183133840560913 seconds
Processing Time for 2022/10/27/1800H:  11.988281488418579 seconds
Processing Time for 2022/10/27/1900H:  9.027419805526733 seconds
Processing Time for 2022/10/27/2000H:  9.873892545700073 seconds
Processing Time for 2022/10/27/2100H:  4.1509130001068115 seconds
Processing Time for 2022/10/27/2200H:  3.735527992248535 seconds
Processing Time for 2022/10/27/2300H:  0.96720290184021 seconds
Processing Time for 2022/10/28/0000H:  1.2327313423156738 seconds
Processing Time for 2022/10/28/0100H:  0.801485538482666 seconds
Processing Time for 2022/10/28/0200H:  0.7160813808441162 seconds
Processing Time for 2022/10/28/0300H:  0.30146098136901855 seconds
Processing Time for 2022/10/28/0400H:  0.68935227394104 seconds
Processing Time for 2022/10/28/0500H:  1.925501823425293 seconds
Processing Time for 2022/10/28/0600H:  3.9090287685394287 seconds
Processing Time for 2022/10/28/0700H:  8.564924001693726 seconds
Processing Time for 2022/10/28/0800H:  5.005521059036255 seconds
Processing Time for 2022/10/28/0900H:  15.332775354385376 seconds
Processing Time for 2022/10/28/1000H:  24.13930368423462 seconds
Processing Time for 2022/10/28/1100H:  22.18246579170227 seconds
Processing Time for 2022/10/28/1200H:  24.136581659317017 seconds
Processing Time for 2022/10/28/1300H:  15.340495824813843 seconds
Processing Time for 2022/10/28/1400H:  20.25745177268982 seconds
Processing Time for 2022/10/28/1500H:  22.30030655860901 seconds
Processing Time for 2022/10/28/1600H:  26.362948656082153 seconds
Processing Time for 2022/10/28/1700H:  20.678701400756836 seconds
Processing Time for 2022/10/28/1800H:  18.5487802028656 seconds
Processing Time for 2022/10/28/1900H:  16.1639461517334 seconds
Processing Time for 2022/10/28/2000H:  15.343266010284424 seconds
Processing Time for 2022/10/28/2100H:  9.219879150390625 seconds
Processing Time for 2022/10/28/2200H:  5.3699047565460205 seconds
Processing Time for 2022/10/28/2300H:  1.7856969833374023 seconds
Processing Time for 2022/10/29/0000H:  1.2406995296478271 seconds
Processing Time for 2022/10/29/0100H:  0.9830658435821533 seconds
Processing Time for 2022/10/29/0200H:  1.0891621112823486 seconds
Processing Time for 2022/10/29/0300H:  0.6211643218994141 seconds
Processing Time for 2022/10/29/0400H:  0.7811233997344971 seconds
Processing Time for 2022/10/29/0500H:  2.617345094680786 seconds
Processing Time for 2022/10/29/0600H:  3.2020516395568848 seconds
Processing Time for 2022/10/29/0700H:  7.981626272201538 seconds
Processing Time for 2022/10/29/0800H:  4.756644248962402 seconds
Processing Time for 2022/10/29/0900H:  12.273014783859253 seconds
Processing Time for 2022/10/29/1000H:  16.50101637840271 seconds
Processing Time for 2022/10/29/1100H:  15.402477979660034 seconds
Processing Time for 2022/10/29/1200H:  20.999200344085693 seconds
Processing Time for 2022/10/29/1300H:  4.288636684417725 seconds
Processing Time for 2022/10/29/1400H:  16.915541172027588 seconds
Processing Time for 2022/10/29/1500H:  11.340986251831055 seconds
Processing Time for 2022/10/29/1600H:  12.514779806137085 seconds
Processing Time for 2022/10/29/1700H:  12.275235176086426 seconds
Processing Time for 2022/10/29/1800H:  17.2163245677948 seconds
Processing Time for 2022/10/29/1900H:  14.695266723632812 seconds
Processing Time for 2022/10/29/2000H:  17.145040273666382 seconds
Processing Time for 2022/10/29/2100H:  7.670990943908691 seconds
Processing Time for 2022/10/29/2200H:  4.765201807022095 seconds
Processing Time for 2022/10/29/2300H:  1.2997322082519531 seconds
Processing Time for 2022/10/30/0000H:  0.8305191993713379 seconds
Processing Time for 2022/10/30/0100H:  0.7953429222106934 seconds
Processing Time for 2022/10/30/0200H:  0.804246187210083 seconds
Processing Time for 2022/10/30/0300H:  0.5471742153167725 seconds
Processing Time for 2022/10/30/0400H:  0.2947392463684082 seconds
Processing Time for 2022/10/30/0500H:  3.0826351642608643 seconds
Processing Time for 2022/10/30/0600H:  5.5147716999053955 seconds
Processing Time for 2022/10/30/0700H:  10.786478757858276 seconds
Processing Time for 2022/10/30/0800H:  3.419053316116333 seconds
Processing Time for 2022/10/30/0900H:  12.433938980102539 seconds
Processing Time for 2022/10/30/1000H:  12.176395654678345 seconds
Processing Time for 2022/10/30/1100H:  7.072722673416138 seconds
Processing Time for 2022/10/30/1200H:  14.441323280334473 seconds
Processing Time for 2022/10/30/1300H:  2.6009466648101807 seconds
Processing Time for 2022/10/30/1400H:  11.329755067825317 seconds
Processing Time for 2022/10/30/1500H:  5.000778436660767 seconds
Processing Time for 2022/10/30/1600H:  7.166859149932861 seconds
Processing Time for 2022/10/30/1700H:  7.091950178146362 seconds
Processing Time for 2022/10/30/1800H:  15.032208681106567 seconds
Processing Time for 2022/10/30/1900H:  10.225289344787598 seconds
Processing Time for 2022/10/30/2000H:  9.411177396774292 seconds
Processing Time for 2022/10/30/2100H:  5.229598045349121 seconds
Processing Time for 2022/10/30/2200H:  3.0561418533325195 seconds
Processing Time for 2022/10/30/2300H:  1.6658284664154053 seconds
Processing Time for 2022/10/31/0000H:  1.6148149967193604 seconds
Processing Time for 2022/10/31/0100H:  0.79203200340271 seconds
Processing Time for 2022/10/31/0200H:  0.7060301303863525 seconds
Processing Time for 2022/10/31/0300H:  0.24026799201965332 seconds
Processing Time for 2022/10/31/0400H:  0.7131800651550293 seconds
Processing Time for 2022/10/31/0500H:  3.00288724899292 seconds
Processing Time for 2022/10/31/0600H:  4.665184736251831 seconds
Processing Time for 2022/10/31/0700H:  11.821587085723877 seconds
Processing Time for 2022/10/31/0800H:  6.513436317443848 seconds
Processing Time for 2022/10/31/0900H:  22.65457010269165 seconds
Processing Time for 2022/10/31/1000H:  22.392801761627197 seconds
Processing Time for 2022/10/31/1100H:  11.053053617477417 seconds
Processing Time for 2022/10/31/1200H:  19.644615173339844 seconds
Processing Time for 2022/10/31/1300H:  6.175642967224121 seconds
Processing Time for 2022/10/31/1400H:  20.50159764289856 seconds
Processing Time for 2022/10/31/1500H:  7.957099437713623 seconds
Processing Time for 2022/10/31/1600H:  13.234584093093872 seconds
Processing Time for 2022/10/31/1700H:  11.424280405044556 seconds
Processing Time for 2022/10/31/1800H:  13.426689147949219 seconds
Processing Time for 2022/10/31/1900H:  10.442198514938354 seconds
Processing Time for 2022/10/31/2000H:  9.280078411102295 seconds
Processing Time for 2022/10/31/2100H:  4.60185432434082 seconds
Processing Time for 2022/10/31/2200H:  3.3418242931365967 seconds
Processing Time for 2022/10/31/2300H:  0.6142153739929199 seconds
Processing Time for 2022/11/01/0000H:  0.6533832550048828 seconds
Processing Time for 2022/11/01/0100H:  0.33336949348449707 seconds
Processing Time for 2022/11/01/0200H:  0.4274318218231201 seconds
Processing Time for 2022/11/01/0300H:  0.17050671577453613 seconds
Processing Time for 2022/11/01/0400H:  0.16234517097473145 seconds
Processing Time for 2022/11/01/0500H:  1.6968955993652344 seconds
Processing Time for 2022/11/01/0600H:  3.1279332637786865 seconds
Processing Time for 2022/11/01/0700H:  8.703316688537598 seconds
Processing Time for 2022/11/01/0800H:  4.255649089813232 seconds
Processing Time for 2022/11/01/0900H:  14.172161102294922 seconds
Processing Time for 2022/11/01/1000H:  15.437033891677856 seconds
Processing Time for 2022/11/01/1100H:  7.041360378265381 seconds
Processing Time for 2022/11/01/1200H:  13.302437782287598 seconds
Processing Time for 2022/11/01/1300H:  3.8537003993988037 seconds
Processing Time for 2022/11/01/1400H:  10.789891242980957 seconds
Processing Time for 2022/11/01/1500H:  10.043230772018433 seconds
Processing Time for 2022/11/01/1600H:  14.072381019592285 seconds
Processing Time for 2022/11/01/1700H:  11.770244598388672 seconds
Processing Time for 2022/11/01/1800H:  19.242560386657715 seconds
Processing Time for 2022/11/01/1900H:  19.199735164642334 seconds
Processing Time for 2022/11/01/2000H:  15.884767055511475 seconds
Processing Time for 2022/11/01/2100H:  9.49720549583435 seconds
Processing Time for 2022/11/01/2200H:  6.480298042297363 seconds
Processing Time for 2022/11/01/2300H:  0.5249073505401611 seconds
Processing Time for 2022/11/02/0000H:  1.0664901733398438 seconds
Processing Time for 2022/11/02/0100H:  0.5298752784729004 seconds
Processing Time for 2022/11/02/0200H:  0.7903296947479248 seconds
Processing Time for 2022/11/02/0300H:  0.27624011039733887 seconds
Processing Time for 2022/11/02/0400H:  0.801337480545044 seconds
Processing Time for 2022/11/02/0500H:  3.533766508102417 seconds
Processing Time for 2022/11/02/0600H:  5.8626487255096436 seconds
Processing Time for 2022/11/02/0700H:  14.075359106063843 seconds
Processing Time for 2022/11/02/0800H:  6.534091472625732 seconds
Processing Time for 2022/11/02/0900H:  22.313617944717407 seconds
Processing Time for 2022/11/02/1000H:  22.236876964569092 seconds
Processing Time for 2022/11/02/1100H:  6.717053174972534 seconds
Processing Time for 2022/11/02/1200H:  13.543196201324463 seconds
Processing Time for 2022/11/02/1300H:  3.1205790042877197 seconds
Processing Time for 2022/11/02/1400H:  11.051117181777954 seconds
Processing Time for 2022/11/02/1500H:  6.432934999465942 seconds
Processing Time for 2022/11/02/1600H:  7.6320061683654785 seconds
Processing Time for 2022/11/02/1700H:  6.890174388885498 seconds
Processing Time for 2022/11/02/1800H:  11.620148181915283 seconds
Processing Time for 2022/11/02/1900H:  12.71216893196106 seconds
Processing Time for 2022/11/02/2000H:  10.396627426147461 seconds
Processing Time for 2022/11/02/2100H:  5.197324991226196 seconds
Processing Time for 2022/11/02/2200H:  4.34389066696167 seconds
Processing Time for 2022/11/02/2300H:  1.4107084274291992 seconds
Processing Time for 2022/11/03/0000H:  0.7219035625457764 seconds
Processing Time for 2022/11/03/0100H:  0.4837956428527832 seconds
Processing Time for 2022/11/03/0200H:  0.4648432731628418 seconds
Processing Time for 2022/11/03/0300H:  0.31704020500183105 seconds
Processing Time for 2022/11/03/0400H:  0.33585691452026367 seconds
Processing Time for 2022/11/03/0500H:  2.2153704166412354 seconds
Processing Time for 2022/11/03/0600H:  3.593778610229492 seconds
Processing Time for 2022/11/03/0700H:  8.348600387573242 seconds
Processing Time for 2022/11/03/0800H:  6.878867864608765 seconds
Processing Time for 2022/11/03/0900H:  23.150723457336426 seconds
Processing Time for 2022/11/03/1000H:  23.864720106124878 seconds
Processing Time for 2022/11/03/1100H:  12.36888313293457 seconds
Processing Time for 2022/11/03/1200H:  20.35870862007141 seconds
Processing Time for 2022/11/03/1300H:  6.373072862625122 seconds
Processing Time for 2022/11/03/1400H:  19.46694827079773 seconds
Processing Time for 2022/11/03/1500H:  9.650696039199829 seconds
Processing Time for 2022/11/03/1600H:  11.592342138290405 seconds
Processing Time for 2022/11/03/1700H:  12.851237535476685 seconds
Processing Time for 2022/11/03/1800H:  18.67120122909546 seconds
Processing Time for 2022/11/03/1900H:  17.061119556427002 seconds
Processing Time for 2022/11/03/2000H:  9.098480939865112 seconds
Processing Time for 2022/11/03/2100H:  5.080233335494995 seconds
Processing Time for 2022/11/03/2200H:  3.539780378341675 seconds
Processing Time for 2022/11/03/2300H:  0.9139144420623779 seconds
Processing Time for 2022/11/04/0000H:  1.190307855606079 seconds
Processing Time for 2022/11/04/0100H:  1.076728105545044 seconds
Processing Time for 2022/11/04/0200H:  1.1656968593597412 seconds
Processing Time for 2022/11/04/0300H:  0.46399760246276855 seconds
Processing Time for 2022/11/04/0400H:  0.893383264541626 seconds
Processing Time for 2022/11/04/0500H:  2.919506788253784 seconds
Processing Time for 2022/11/04/0600H:  3.6425957679748535 seconds
Processing Time for 2022/11/04/0700H:  7.412714958190918 seconds
Processing Time for 2022/11/04/0800H:  4.158445835113525 seconds
Processing Time for 2022/11/04/0900H:  13.499998092651367 seconds
Processing Time for 2022/11/04/1000H:  13.439548254013062 seconds
Processing Time for 2022/11/04/1100H:  7.619772434234619 seconds
Processing Time for 2022/11/04/1200H:  13.379346132278442 seconds
Processing Time for 2022/11/04/1300H:  5.057328701019287 seconds
Processing Time for 2022/11/04/1400H:  13.026772260665894 seconds
Processing Time for 2022/11/04/1500H:  7.615955591201782 seconds
Processing Time for 2022/11/04/1600H:  15.353660583496094 seconds
Processing Time for 2022/11/04/1700H:  16.310357332229614 seconds
Processing Time for 2022/11/04/1800H:  25.959368228912354 seconds
Processing Time for 2022/11/04/1900H:  27.413851261138916 seconds
Processing Time for 2022/11/04/2000H:  24.940703630447388 seconds
Processing Time for 2022/11/04/2100H:  20.03229069709778 seconds
Processing Time for 2022/11/04/2200H:  13.681614637374878 seconds
Processing Time for 2022/11/04/2300H:  6.097519874572754 seconds
Processing Time for 2022/11/05/0000H:  2.4435997009277344 seconds
Processing Time for 2022/11/05/0100H:  2.0750792026519775 seconds
Processing Time for 2022/11/05/0200H:  2.6996612548828125 seconds
Processing Time for 2022/11/05/0300H:  2.3586106300354004 seconds
Processing Time for 2022/11/05/0400H:  2.2888786792755127 seconds
Processing Time for 2022/11/05/0500H:  6.4841907024383545 seconds
Processing Time for 2022/11/05/0600H:  6.734522581100464 seconds
Processing Time for 2022/11/05/0700H:  10.72209119796753 seconds
Processing Time for 2022/11/05/0800H:  5.833237409591675 seconds
Processing Time for 2022/11/05/0900H:  13.713385343551636 seconds
Processing Time for 2022/11/05/1000H:  18.616896629333496 seconds
Processing Time for 2022/11/05/1100H:  10.350961685180664 seconds
Processing Time for 2022/11/05/1200H:  14.912328243255615 seconds
Processing Time for 2022/11/05/1300H:  5.196450233459473 seconds
Processing Time for 2022/11/05/1400H:  12.119462013244629 seconds
Processing Time for 2022/11/05/1500H:  7.617534160614014 seconds
Processing Time for 2022/11/05/1600H:  8.400063514709473 seconds
Processing Time for 2022/11/05/1700H:  8.852580308914185 seconds
Processing Time for 2022/11/05/1800H:  13.984878063201904 seconds
Processing Time for 2022/11/05/1900H:  19.760112524032593 seconds
Processing Time for 2022/11/05/2000H:  17.159629821777344 seconds
Processing Time for 2022/11/05/2100H:  12.829915523529053 seconds
Processing Time for 2022/11/05/2200H:  9.666517496109009 seconds
Processing Time for 2022/11/05/2300H:  3.273754835128784 seconds
Processing Time for 2022/11/06/0000H:  2.5299060344696045 seconds
Processing Time for 2022/11/06/0100H:  2.1943743228912354 seconds
Processing Time for 2022/11/06/0200H:  1.6167187690734863 seconds
Processing Time for 2022/11/06/0300H:  1.2769014835357666 seconds
Processing Time for 2022/11/06/0400H:  1.653228759765625 seconds
Processing Time for 2022/11/06/0500H:  5.095590829849243 seconds
Processing Time for 2022/11/06/0600H:  6.051701545715332 seconds
Processing Time for 2022/11/06/0700H:  11.239736795425415 seconds
Processing Time for 2022/11/06/0800H:  6.384273290634155 seconds
Processing Time for 2022/11/06/0900H:  23.975762128829956 seconds
Processing Time for 2022/11/06/1000H:  25.86714816093445 seconds
Processing Time for 2022/11/06/1100H:  14.791528224945068 seconds
Processing Time for 2022/11/06/1200H:  17.538353443145752 seconds
Processing Time for 2022/11/06/1300H:  4.389211177825928 seconds
Processing Time for 2022/11/06/1400H:  10.868516683578491 seconds
Processing Time for 2022/11/06/1500H:  6.1017632484436035 seconds
Processing Time for 2022/11/06/1600H:  9.896496295928955 seconds
Processing Time for 2022/11/06/1700H:  10.433178901672363 seconds
Processing Time for 2022/11/06/1800H:  12.792024374008179 seconds
Processing Time for 2022/11/06/1900H:  13.684009552001953 seconds
Processing Time for 2022/11/06/2000H:  10.057225465774536 seconds
Processing Time for 2022/11/06/2100H:  6.059164762496948 seconds
Processing Time for 2022/11/06/2200H:  2.445795774459839 seconds
Processing Time for 2022/11/06/2300H:  0.911137580871582 seconds
Processing Time for 2022/11/07/0000H:  0.6261975765228271 seconds
Processing Time for 2022/11/07/0100H:  0.5786170959472656 seconds
Processing Time for 2022/11/07/0200H:  0.6278445720672607 seconds
Processing Time for 2022/11/07/0300H:  0.2973778247833252 seconds
Processing Time for 2022/11/07/0400H:  0.4537830352783203 seconds
Processing Time for 2022/11/07/0500H:  2.791393280029297 seconds
Processing Time for 2022/11/07/0600H:  3.4139835834503174 seconds
Processing Time for 2022/11/07/0700H:  6.726614713668823 seconds
Processing Time for 2022/11/07/0800H:  4.310760498046875 seconds
Processing Time for 2022/11/07/0900H:  16.231109857559204 seconds
Processing Time for 2022/11/07/1000H:  23.89571738243103 seconds
Processing Time for 2022/11/07/1100H:  12.763365507125854 seconds
Processing Time for 2022/11/07/1200H:  19.53721046447754 seconds
Processing Time for 2022/11/07/1300H:  5.69678258895874 seconds
Processing Time for 2022/11/07/1400H:  18.707103729248047 seconds
Processing Time for 2022/11/07/1500H:  11.383088827133179 seconds
Processing Time for 2022/11/07/1600H:  15.344921827316284 seconds
Processing Time for 2022/11/07/1700H:  10.955666303634644 seconds
Processing Time for 2022/11/07/1800H:  20.00936722755432 seconds
Processing Time for 2022/11/07/1900H:  18.825437784194946 seconds
Processing Time for 2022/11/07/2000H:  15.819639682769775 seconds
Processing Time for 2022/11/07/2100H:  5.180751085281372 seconds
Processing Time for 2022/11/07/2200H:  3.4804210662841797 seconds
Processing Time for 2022/11/07/2300H:  1.4911329746246338 seconds
Processing Time for 2022/11/08/0000H:  1.0698435306549072 seconds
Processing Time for 2022/11/08/0100H:  0.6349411010742188 seconds
Processing Time for 2022/11/08/0200H:  0.5975780487060547 seconds
Processing Time for 2022/11/08/0300H:  0.43036460876464844 seconds
Processing Time for 2022/11/08/0400H:  0.806196928024292 seconds
Processing Time for 2022/11/08/0500H:  2.504102945327759 seconds
Processing Time for 2022/11/08/0600H:  3.629979372024536 seconds
Processing Time for 2022/11/08/0700H:  9.266161441802979 seconds
Processing Time for 2022/11/08/0800H:  5.234212398529053 seconds
Processing Time for 2022/11/08/0900H:  12.470156908035278 seconds
Processing Time for 2022/11/08/1000H:  14.170118570327759 seconds
Processing Time for 2022/11/08/1100H:  6.437307596206665 seconds
Processing Time for 2022/11/08/1200H:  11.45435881614685 seconds
Processing Time for 2022/11/08/1300H:  3.440086841583252 seconds
Processing Time for 2022/11/08/1400H:  9.976419687271118 seconds
Processing Time for 2022/11/08/1500H:  5.1850669384002686 seconds
Processing Time for 2022/11/08/1600H:  8.817264556884766 seconds
Processing Time for 2022/11/08/1700H:  6.477419137954712 seconds
Processing Time for 2022/11/08/1800H:  15.921544075012207 seconds
Processing Time for 2022/11/08/1900H:  18.45750641822815 seconds
Processing Time for 2022/11/08/2000H:  15.931642532348633 seconds
Processing Time for 2022/11/08/2100H:  7.105027675628662 seconds
Processing Time for 2022/11/08/2200H:  5.198293447494507 seconds
Processing Time for 2022/11/08/2300H:  1.3665494918823242 seconds
Processing Time for 2022/11/09/0000H:  1.1024136543273926 seconds
Processing Time for 2022/11/09/0100H:  1.2679836750030518 seconds
Processing Time for 2022/11/09/0200H:  0.8445229530334473 seconds
Processing Time for 2022/11/09/0300H:  0.2749471664428711 seconds
Processing Time for 2022/11/09/0400H:  0.7787375450134277 seconds
Processing Time for 2022/11/09/0500H:  4.239351511001587 seconds
Processing Time for 2022/11/09/0600H:  5.60110878944397 seconds
Processing Time for 2022/11/09/0700H:  12.603264093399048 seconds
Processing Time for 2022/11/09/0800H:  8.59704041481018 seconds
Processing Time for 2022/11/09/0900H:  22.479979753494263 seconds
Processing Time for 2022/11/09/1000H:  23.71942925453186 seconds
Processing Time for 2022/11/09/1100H:  11.724733114242554 seconds
Processing Time for 2022/11/09/1200H:  20.641460180282593 seconds
Processing Time for 2022/11/09/1300H:  5.051851987838745 seconds
Processing Time for 2022/11/09/1400H:  11.086308717727661 seconds
Processing Time for 2022/11/09/1500H:  5.109759569168091 seconds
Processing Time for 2022/11/09/1600H:  9.778757572174072 seconds
Processing Time for 2022/11/09/1700H:  6.841768503189087 seconds
Processing Time for 2022/11/09/1800H:  11.435744762420654 seconds
Processing Time for 2022/11/09/1900H:  12.033743143081665 seconds
Processing Time for 2022/11/09/2000H:  9.952551364898682 seconds
Processing Time for 2022/11/09/2100H:  4.523256063461304 seconds
Processing Time for 2022/11/09/2200H:  3.3505098819732666 seconds
Processing Time for 2022/11/09/2300H:  0.8929746150970459 seconds
Processing Time for 2022/11/10/0000H:  0.6782076358795166 seconds
Processing Time for 2022/11/10/0100H:  0.6114633083343506 seconds
Processing Time for 2022/11/10/0200H:  0.8810646533966064 seconds
Processing Time for 2022/11/10/0300H:  0.5077574253082275 seconds
Processing Time for 2022/11/10/0400H:  0.6202843189239502 seconds
Processing Time for 2022/11/10/0500H:  2.6720762252807617 seconds
Processing Time for 2022/11/10/0600H:  3.3319122791290283 seconds
Processing Time for 2022/11/10/0700H:  8.610831022262573 seconds
Processing Time for 2022/11/10/0800H:  5.925199031829834 seconds
Processing Time for 2022/11/10/0900H:  12.57008147239685 seconds
Processing Time for 2022/11/10/1000H:  13.291250944137573 seconds
Processing Time for 2022/11/10/1100H:  9.243078470230103 seconds
Processing Time for 2022/11/10/1200H:  19.269350290298462 seconds
Processing Time for 2022/11/10/1300H:  4.725862503051758 seconds
Processing Time for 2022/11/10/1400H:  18.427316665649414 seconds
Processing Time for 2022/11/10/1500H:  9.343086242675781 seconds
Processing Time for 2022/11/10/1600H:  13.983886957168579 seconds
Processing Time for 2022/11/10/1700H:  10.878833532333374 seconds
Processing Time for 2022/11/10/1800H:  20.449034690856934 seconds
Processing Time for 2022/11/10/1900H:  19.429645776748657 seconds
Processing Time for 2022/11/10/2000H:  16.26031756401062 seconds
Processing Time for 2022/11/10/2100H:  7.225763559341431 seconds
Processing Time for 2022/11/10/2200H:  4.915172100067139 seconds
Processing Time for 2022/11/10/2300H:  1.4623420238494873 seconds
Processing Time for 2022/11/11/0000H:  1.4415016174316406 seconds
Processing Time for 2022/11/11/0100H:  1.0849494934082031 seconds
Processing Time for 2022/11/11/0200H:  0.4842526912689209 seconds
Processing Time for 2022/11/11/0300H:  0.4289214611053467 seconds
Processing Time for 2022/11/11/0400H:  0.7188084125518799 seconds
Processing Time for 2022/11/11/0500H:  4.997312784194946 seconds
Processing Time for 2022/11/11/0600H:  6.1936187744140625 seconds
Processing Time for 2022/11/11/0700H:  10.242873430252075 seconds
Processing Time for 2022/11/11/0800H:  4.756419897079468 seconds
Processing Time for 2022/11/11/0900H:  13.50802755355835 seconds
Processing Time for 2022/11/11/1000H:  15.672331809997559 seconds
Processing Time for 2022/11/11/1100H:  7.171328544616699 seconds
Processing Time for 2022/11/11/1200H:  12.31503701210022 seconds
Processing Time for 2022/11/11/1300H:  4.295799970626831 seconds
Processing Time for 2022/11/11/1400H:  12.035850048065186 seconds
Processing Time for 2022/11/11/1500H:  9.59691596031189 seconds
Processing Time for 2022/11/11/1600H:  10.824138402938843 seconds
Processing Time for 2022/11/11/1700H:  11.316327571868896 seconds
Processing Time for 2022/11/11/1800H:  17.976258516311646 seconds
Processing Time for 2022/11/11/1900H:  27.61149764060974 seconds
Processing Time for 2022/11/11/2000H:  26.61474871635437 seconds
Processing Time for 2022/11/11/2100H:  18.810276746749878 seconds
Processing Time for 2022/11/11/2200H:  10.324364423751831 seconds
Processing Time for 2022/11/11/2300H:  2.675189256668091 seconds
Processing Time for 2022/11/12/0000H:  1.5997889041900635 seconds
Processing Time for 2022/11/12/0100H:  2.1436328887939453 seconds
Processing Time for 2022/11/12/0200H:  2.3287441730499268 seconds
Processing Time for 2022/11/12/0300H:  1.3105313777923584 seconds
Processing Time for 2022/11/12/0400H:  1.69140625 seconds
Processing Time for 2022/11/12/0500H:  5.42053484916687 seconds
Processing Time for 2022/11/12/0600H:  5.448806285858154 seconds
Processing Time for 2022/11/12/0700H:  12.619886636734009 seconds
Processing Time for 2022/11/12/0800H:  9.303948640823364 seconds
Processing Time for 2022/11/12/0900H:  22.57023286819458 seconds
Processing Time for 2022/11/12/1000H:  26.438467264175415 seconds
Processing Time for 2022/11/12/1100H:  11.509026527404785 seconds
Processing Time for 2022/11/12/1200H:  12.084778785705566 seconds
Processing Time for 2022/11/12/1300H:  4.059740304946899 seconds
Processing Time for 2022/11/12/1400H:  10.147657871246338 seconds
Processing Time for 2022/11/12/1500H:  5.884979009628296 seconds
Processing Time for 2022/11/12/1600H:  9.210078716278076 seconds
Processing Time for 2022/11/12/1700H:  5.595939636230469 seconds
Processing Time for 2022/11/12/1800H:  10.507741928100586 seconds
Processing Time for 2022/11/12/1900H:  12.196803092956543 seconds
Processing Time for 2022/11/12/2000H:  10.942467212677002 seconds
Processing Time for 2022/11/12/2100H:  5.033520460128784 seconds
Processing Time for 2022/11/12/2200H:  2.4066972732543945 seconds
Processing Time for 2022/11/12/2300H:  0.5573616027832031 seconds
